accession,benchmark_type,Domain,Phylum,Class,Order,Family,Genus,Species,num_seqs,sum_len,min_len,avg_len,max_len,genome_size
RS_GCF_014642675.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia cremea,2823,935529,21,331.4,3580,3083458
RS_GCF_014644495.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter polychromogenes,4014,1310753,24,326.5,2240,4349807
RS_GCF_014694315.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter ipis,4126,1327217,30,321.7,2159,4504116
RS_GCF_014712225.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sulfonivorans,4530,1462959,22,322.9,2434,4927723
RS_GCF_014873955.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia lutea,2649,893190,29,337.2,1613,2958123
RS_GCF_014874065.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia halotolerans,2690,896284,31,333.2,3583,2966101
RS_GCF_016907795.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,Kocuria palustris,2510,854174,33,340.3,1707,2897960
RS_GCF_017052465.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter pascens,4450,1435385,20,322.6,2041,4810196
RS_GCF_017876395.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia lacusekhoensis,2607,832675,31,319.4,1662,2742649
RS_GCF_019575955.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia pannonica,4747,745152,30,157,993,2699453
RS_GCF_022803015.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter humicola,4270,1386623,28,324.7,1874,4716310
RS_GCF_023062595.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter rhizosphaerae,4682,1497609,20,319.9,2378,5022511
RS_GCF_900105535.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter equi,4038,1332533,30,330,3531,4459178
RS_GCF_900609065.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter ulcerisalmonis,3325,1059773,27,318.7,2090,3516484
GB_GCA_008638415.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis sinuspersici,5364,1748026,24,325.9,3486,6145370
RS_GCF_000024865.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum,9229,2998507,27,324.9,7542,10369518
RS_GCF_000092985.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis dassonvillei,5559,1851367,30,333,7423,6543312
RS_GCF_000340965.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis kunsanensis,4663,1525255,22,327.1,6338,5312089
RS_GCF_000341005.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis alkaliphila,4787,1491899,21,311.7,2695,5209552
RS_GCF_000341025.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis salina,5414,1670687,22,308.6,2926,5808301
RS_GCF_000341065.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis halotolerans,5760,1783444,21,309.6,4674,6263929
RS_GCF_000341085.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis ganjiahuensis,6451,2118680,20,328.4,4662,7352287
RS_GCF_000341125.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis lucentensis,6461,1826481,20,282.7,3535,6325274
RS_GCF_000341145.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis xinjiangensis,4733,1529960,20,323.3,4203,5330432
RS_GCF_000341225.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis alba,5157,1690449,20,327.8,3822,5820411
RS_GCF_000341265.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis prasina,5422,1731894,20,319.4,3971,5998803
RS_GCF_000721075.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium amethystogenes,8715,2739521,22,314.3,3896,9441077
RS_GCF_000725485.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea candida,10216,3246658,21,317.8,3885,11006208
RS_GCF_001570765.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis listeri,5074,1649646,27,325.1,6548,5685516
RS_GCF_002149035.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium minutum,8940,2776346,21,310.6,3874,9581188
RS_GCF_002850745.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea indica,7681,2480027,23,322.9,3619,8289263
RS_GCF_003001935.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea fuscirosea,11286,3603789,21,319.3,3749,12180574
RS_GCF_003236395.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea aridisoli,9865,2939406,21,298,2228,9868672
RS_GCF_003313395.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea lactucae,8962,2572861,22,287.1,2582,8673472
RS_GCF_004011505.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea polychroma,10771,3406464,30,316.3,4647,11519774
RS_GCF_004348345.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea longispora,8837,2741733,20,310.3,6064,9164341
RS_GCF_004348685.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea deserti,10236,3171196,21,309.8,7688,10694046
RS_GCF_004348995.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea terrae,9655,2879483,21,298.2,2444,9687995
RS_GCF_005889725.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea zeae,12692,4058110,20,319.7,4931,13613686
RS_GCF_005889735.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea turkmeniaca,11149,3358522,20,301.2,3513,11350886
RS_GCF_005893125.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea basaltis,14266,4198340,21,294.3,3981,14334648
RS_GCF_006334985.2,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea phyllanthi,10141,3298191,25,325.2,6061,11027144
RS_GCF_008638365.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis quinghaiensis,5186,1691518,24,326.2,3076,5915607
RS_GCF_009760925.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea typhae,10714,3471607,21,324,4455,11388961
RS_GCF_012396365.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis alborubida,6301,2036007,20,323.1,7673,7158456
RS_GCF_013283785.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea antri,11150,3488877,20,312.9,2866,11667904
RS_GCF_013363975.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea montanisoli,8963,2915901,24,325.3,3529,9762852
RS_GCF_013363995.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea rhodomycinica,8847,2871241,22,324.5,3246,9611123
RS_GCF_013409935.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium sandarakinum,6805,2214725,30,325.5,5100,7647619
RS_GCF_013410755.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis aegyptia,6105,1994508,30,326.7,9842,6909152
RS_GCF_013761175.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea soli,9258,3120615,23,337.1,9127,10086809
RS_GCF_014195505.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea dietziae,9788,3035506,30,310.1,5059,10244150
RS_GCF_014201115.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis metallicus,6883,2216348,30,322,4569,7776555
RS_GCF_014203235.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea endophytica,10625,3472926,25,326.9,4163,11471676
RS_GCF_014203695.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis algeriensis,4179,1379363,28,330.1,4223,4812129
RS_GCF_014203715.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium saharense,7985,2532454,21,317.2,6387,8496112
RS_GCF_014203795.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium album,8559,2609893,29,304.9,10410,9022456
RS_GCF_014204795.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea jabiensis,11920,3923049,30,329.1,9142,13173116
RS_GCF_014204985.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium becharense,6803,2267895,30,333.4,5345,7824014
RS_GCF_014207745.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea muscovyensis,8609,2735040,30,317.7,4243,9231644
RS_GCF_014207985.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea rubra,11908,3883285,30,326.1,3680,12876814
RS_GCF_014646355.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea cavernae,7689,2434436,20,316.6,6863,8123920
RS_GCF_014646515.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea glycinis,9022,2895922,30,321,3653,9635644
RS_GCF_014648055.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium pseudovulgare,7669,2489067,23,324.6,4514,8586701
RS_GCF_014648435.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea spiralis,10664,3461447,22,324.6,6712,11470535
RS_GCF_014651695.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis terrae,5169,1728288,30,334.4,4769,6005868
RS_GCF_014654615.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium violaceochromogenes,5843,1811273,22,310,5249,6265008
RS_GCF_014873145.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea angiospora,11883,3908645,30,328.9,9135,13093168
RS_GCF_014873535.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea africana,9200,2868042,30,311.7,5243,9694534
RS_GCF_014892575.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis coralli,5549,1859244,25,335.1,3438,6398852
RS_GCF_015645445.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea cypriaca,11187,3417564,20,305.5,3292,11548603
RS_GCF_019396325.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea ceibae,9926,3107477,20,313.1,3675,10309590
RS_GCF_019396345.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea guangzhouensis,12718,4117331,20,323.7,7163,13673866
RS_GCF_019396385.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea harbinensis,8829,2850446,20,322.9,7471,9393786
RS_GCF_019397265.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea coxensis,8428,2748170,30,326.1,4082,9073954
RS_GCF_020215645.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea gerenzanensis,11109,3644564,26,328.1,5209,12066052
RS_GCF_020215705.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea aurantiaca,11213,3506540,22,312.7,7913,11847238
RS_GCF_024134545.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis exhalans,6808,2168173,30,318.5,3664,7597621
RS_GCF_024172165.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea thailandensis,12620,4113007,30,325.9,6352,13765184
RS_GCF_024172185.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea roseoviolacea,8995,2916622,30,324.2,3555,9752649
RS_GCF_900099965.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea jiangxiensis,10825,3488223,27,322.2,5398,11811824
RS_GCF_900100395.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea maritima,7908,2457833,20,310.8,3111,8267594
RS_GCF_900108335.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea solani,12118,3992316,23,329.5,4146,13236837
RS_GCF_900109355.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea pusilla,8546,2747355,22,321.5,3144,9204326
RS_GCF_900111685.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Nonomuraea wenchangensis,9575,3051051,22,318.6,5135,10051191
RS_GCF_900113865.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium canum,8519,2698850,22,316.8,3623,9273799
RS_GCF_900141985.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nocardiopsis,Nocardiopsis flavescens,6221,2052889,23,330,7760,7172933
RS_GCF_900188345.1,All approaches,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium subroseum,9667,3081629,22,318.8,7892,10782574
RS_GCF_000011245.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus iheyensis,3554,1026935,30,289,2370,3630528
RS_GCF_000340475.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus kimchii,3798,1090692,30,287.2,2369,3830781
RS_GCF_000359605.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus halophilus,3168,883236,25,278.8,2312,3034425
RS_GCF_000377765.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus lacisalsi,4278,1258738,21,294.2,1961,4409254
RS_GCF_000521485.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus boraciitolerans,4600,1023129,20,222.4,1372,3651580
RS_GCF_000821065.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus oncorhynchi,4428,1284002,30,290,2687,4608004
RS_GCF_001458115.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus massiliensis,3839,1189935,30,310,2429,4207226
RS_GCF_001618145.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus damuensis,3956,1136653,25,287.3,1843,4118836
RS_GCF_002153375.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus rekensis,3717,1051381,30,282.9,1636,3865100
RS_GCF_003176895.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Gracilibacillus,Gracilibacillus dipsosauri,4038,1227537,30,304,2922,4186855
RS_GCF_003352005.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus zhaokaii,3910,1105159,30,282.6,1852,4103611
RS_GCF_003369565.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus chungangensis,3882,1084486,20,279.4,1852,4010023
RS_GCF_003369575.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus arenosus,3983,1114246,26,279.8,1854,4051086
RS_GCF_003515705.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus profundus,4644,1336360,30,287.8,2385,4778684
RS_GCF_003628445.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus bengalensis,3915,1122355,20,286.7,1771,4041242
RS_GCF_003628505.1,All approaches,Bacteria,Bacillota,Bacilli,Bacillales_D,Amphibacillaceae,Oceanobacillus,Oceanobacillus halophilus,3841,1122597,22,292.3,1745,4081470
